t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.405000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.011503,0.450000,-0.011503,-0.073695,-0.339112,0.693079,-0.068240,-0.108582,3.338459,-40.866530,0.498502,5.292256,31.315901,-16.922296,0.107304,-898.888003,0.432499
0.410000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.011770,0.450000,-0.011770,-0.068371,-0.336496,0.690472,-0.068987,-0.110030,3.342047,-40.884378,0.501116,5.350932,31.363364,-17.128042,0.109803,-898.861395,0.431189
0.415000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.012041,0.450000,-0.012041,-0.062503,-0.333975,0.687717,-0.069709,-0.111463,3.345622,-40.902646,0.503621,5.409260,31.322307,-17.333878,0.112315,-898.834495,0.430770
0.420000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.012314,0.450000,-0.012314,-0.056817,-0.330047,0.684665,-0.070406,-0.112879,3.349183,-40.921322,0.505787,5.469958,31.306973,-17.539808,0.114838,-898.807297,0.425935
0.425000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.012590,0.450000,-0.012590,-0.050589,-0.329716,0.681332,-0.071077,-0.114283,3.352729,-40.941278,0.507862,5.526903,31.337666,-17.745835,0.117372,-898.779805,0.434998
0.430000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.012870,0.450000,-0.012870,-0.044153,-0.328612,0.677685,-0.071718,-0.115682,3.356259,-40.961680,0.509769,5.583335,31.336532,-17.951963,0.119916,-898.752029,0.438651
0.435000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.013151,0.450000,-0.013151,-0.037856,-0.328158,0.673729,-0.072331,-0.117077,3.359770,-40.982840,0.511475,5.638958,31.394843,-18.158196,0.122469,-898.723973,0.442701
0.440000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.013436,0.450000,-0.013436,-0.031515,-0.327085,0.669408,-0.072915,-0.118467,3.363262,-41.004310,0.513022,5.694006,31.395981,-18.364537,0.125030,-898.695641,0.444196
0.445000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.013724,0.450000,-0.013724,-0.025197,-0.324491,0.664842,-0.073469,-0.119847,3.366733,-41.025984,0.514285,5.750959,31.398041,-18.570986,0.127599,-898.667029,0.440227
0.450000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.014014,0.450000,-0.014014,-0.019195,-0.321218,0.659816,-0.073995,-0.121213,3.370179,-41.047952,0.515250,5.808778,31.405676,-18.777544,0.130172,-898.638129,0.436815
0.455000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.014308,0.450000,-0.014308,-0.012678,-0.317114,0.654617,-0.074490,-0.122561,3.373600,-41.070053,0.515986,5.867909,31.441368,-18.984214,0.132750,-898.608938,0.432083
0.460000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.014604,0.450000,-0.014604,-0.006307,-0.314199,0.649025,-0.074955,-0.123892,3.376994,-41.092735,0.516549,5.925565,31.475625,-19.190996,0.135332,-898.579454,0.433955
